DeployedFromStation_Name,Adresse caserne ,,Latitude,Longitude
Barking,"Alfred's Way, IG11 0BB",,51.52958109999999,0.0900574
Dagenham,"70 Rainham Road North, Dagenham, RM10 7ES",,51.5593514,0.1569352
Dowgate,"94-95 Upper Thames Street, EC4R 3UE",,51.5105342,-0.09145869999999999
Shoreditch,"235 Old Street, EC1V 9EY",,51.5264428,-0.08556319999999999
Stoke Newington,"64 Stoke Newington Church Street, N16 0AR",,51.56243079999999,-0.07694129999999999
Homerton,"97 Homerton High Street Hackney, London E9 6DL",,51.5485407,-0.0439185
Harold Hill,"Units 7 - 9 Falcon Business Centre Ashton Road Romford, RM3 8UN",,51.5975468,0.2239116
Hornchurch,"42 North Street, RM11 1SH",,51.5644,0.2203538
Romford,"198 Pettits Boulevard , RM1 4PL",,51.5936386,0.1811521
Wennington,Wennington Road RM13 9EE,,51.5064704,0.2206783
Holloway,"270 - 282 Hornsey Road, N7 7QZ",,51.5615768,-0.1160296
Islington,"278 Upper Street, N1 2TZ",,51.5402433,-0.1024266
East Ham,"210 High Street South, E6 3RS",,51.52349510000001,0.05691420000000001
Plaistow,"145 Prince Regent Lane, E13 8SG",,51.5209992,0.0321837
Stratford,"117 Romford Road, E15 4EH",,51.54363619999999,0.0111471
Hainault,"368 - 388 New North Road, IG6 3DY",,51.6061491,0.1027589
Woodford,"2 Snakes Lane, IG8 0BS",,51.6094832,0.0241434
Ilford,"460 High Road, IG1 1UE",,51.5621963,0.08997139999999999
Bethnal Green,"11 Roman Road, E2 0HU",,51.5275282,-0.0537677
Millwall,"43 Westferry Road, E14 8JH",,51.5008981,-0.0254822
Poplar,"168 East India Dock Road, E14 0BP",,51.5109207,-0.0144959
Shadwell,"290 Cable Street, E1 0BX",,51.5109495,-0.0559025
Whitechapel,27 Commercial Road E1 1LD,,51.5151588,-0.0690775
Chingford,"34 The Ridgeway, E4 6PP",,51.6295369,-0.004808199999999999
Leyton,"90B Church Road, E10 5HG",,51.5631068,-0.0160346
Leytonstone,"466 High Street, E11 3HN",,51.56066970000001,0.0085954
Walthamstow,"343 Forest Road, E17 5JR",,51.5897453,-0.0288151
Barnet,"144 Station Road, EN5 1TE",,51.6471842,-0.1859367
Finchley,"227 Long Lane, N3 2RP",,51.59787679999999,-0.1793531
Hendon,"91 The Burroughs Hendon, NW4 4BL",,51.5888631,-0.2286153
Mill Hill,"10 Hartley Avenue, NW7 2HX",,51.6150604,-0.2431777
Park Royal,"Waxlow Road, NW10 7NU",,51.536267,-0.2655493
Wembley,"591A Harrow Road, HA0 2EG",,51.5517079,-0.3039985
Willesden,"59a Pound Lane, NW10 2HH",,51.5445448,-0.2366733
Kentish Town,"20 Highgate Rd, London NW5 1NS",,51.552755,-0.1416639
Euston,"172 Euston Road, NW1 2DH",,51.5276478,-0.1308006
West Hampstead,"327B West End Lane, NW6 1RS",,51.5517167,-0.1927863
Acton,"27 Gunnersbury Lane, W3 8EA",,51.5070135,-0.276876
Ealing,"60-64 Uxbridge Road, W13 8RA",,51.5120839,-0.3138958
Northolt,"74 Petts Hill, UB5 4JT",,51.5546535,-0.3595882
Southall,"17 - 19 High Street, UB1 3HA",,51.5112497,-0.374425
Enfield,"93 Carterhatch Lane, EN1 4LA",,51.6603169,-0.0519562
Edmonton,"99 Church Street, N9 9AA",,51.627111,-0.0689367
Southgate,"96 High Street, N14 6BN",,51.628469,-0.1273509
Hornsey,"108 Park Avenue South, N8 8LS",,51.5865145,-0.1272324
Tottenham,"49 St Loys Road, N17 6UE",,51.5924406,-0.0715939
